brand,model_name,category,wireless,noise_cancelling,price,currency,rating,first_word,OS_type,popularity
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,64.5,USD,,Apple,IOS,3
Apple,Apple AirPods 4,Headphones,1,0,84.99,USD,4.6,Apple,IOS,3
Apple,AirPods Pro 3,Headphones,1,0,89.99,USD,,Apple,IOS,3
Apple,Apple AirPods Pro,Headphones,1,1,24.95,USD,,Apple,IOS,3
Apple,Apple AirPods Max,Headphones,1,1,160,USD,,Original,IOS,3
Apple,Earpods With 3.5Mm Headphones Plug,Headphones,1,0,13.55,USD,,Apple,IOS,3
Apple,AirPods Pro,Headphones,1,1,97,USD,,Apple,IOS,3
Apple,Apple AirPods Pro 2nd,Headsets,0,0,63.95,USD,4.3,Apple,IOS,3
Apple,AirBuds,Headphones,1,0,9.99,USD,,Apple,IOS,3
Apple,Apple AirPods 4 ANC,Headphones,0,0,110,USD,,Apple,IOS,3
Apple,Apple Airpods 4 ANC,Headphones,1,1,42.95,USD,4.8,Apple,IOS,3
Apple,AirPods (3rd generation),Headphones,1,0,75,USD,,Apple,IOS,3
Apple,Apple Wired Earphones,Headphones,1,0,24.88,USD,,Apple,IOS,3
Apple,Apple AirPods Max -,Headsets,0,0,398.95,USD,1,Apple,IOS,3
Apple,apple arpods pro 2nd gen,Headphones,1,1,29.9,USD,4.9,Genuine,IOS,3
Apple,AirPods Pro (3rd Generation),Headphones,1,1,169.99,USD,4.6,Apple,IOS,3
Apple,AirPods Max,Headphones,1,0,300,USD,,Apple,IOS,3
Apple,Apple AirPods Pro 2nd,Headphones,0,0,55.29,USD,4.6,Apple,IOS,3
Apple,AirPods Pro 2nd Gen,Headphones,1,0,55.29,USD,4.6,Apple,IOS,3
Apple,AirPods Pro 3rd Gen,Headphones,1,0,229,USD,4.6,Apple,IOS,3
Apple,Beats by Dr. Dre Fit Pro,Headphones,1,1,39.99,USD,,Original,IOS,3
Apple,Apple AirPods Pro,Headphones,1,1,24.95,USD,,Apple,IOS,3
Apple,AirPods 4,Headphones,1,1,109,USD,4.4,Apple,IOS,3
Apple,For Apple AirPods Pro 2nd Gen,Headphones,1,0,65,USD,,For,IOS,3
Apple,Apple EarPods,Headphones,1,0,12,USD,,Apple,IOS,3
Apple,apple airpods pro 2nd gen,Headphones,1,1,29.8,USD,5,Genuine,IOS,3
Apple,Apple AirPods 4,Headphones,1,1,59.99,USD,4.8,Original,IOS,3
Apple,apple arpods pro 2nd gen,Headphones,1,1,29.9,USD,4.9,Genuine,IOS,3
Apple,AirPods Pro (3rd generation),Headphones,1,1,179,USD,4.6,Apple,IOS,3
Apple,Apple AirPods 4,Headphones,1,0,139,USD,4.4,Apple,IOS,3
Apple,AirPods Pro,Headphones,1,1,97,USD,,Apple,IOS,3
Apple,Apple AirPods 2nd Generation,Headphones,1,0,31.99,USD,,Apple,IOS,3
Apple,Airpods 4 with ANC,Headphones,1,0,139.99,USD,,Apple,IOS,3
Apple,apple airpods pro 2nd gen,Headphones,1,1,29.8,USD,5,Genuine,IOS,3
Apple,Beats by Dr. Dre Powerbeats Pro,Headphones,1,0,64.5,USD,,Original,IOS,3
